strategy,ticker,target_weight,entry_price,shares,entry_value,last_price,last_value,created_at,updated_at
V13_defensive,IEF,0.0699999999999999,93.8000030517578,7.462686324367678,699.9999999999995,94.33999633789062,704.0298005116732,2026-06-08 13:43:34 UTC,2026-06-11 20:19:22 UTC
V13_defensive,WDC,0.0533333333333333,535.780029296875,0.9954333946213852,533.3333333333335,529.2899780273438,526.8729195668373,2026-06-08 13:43:34 UTC,2026-06-11 20:19:22 UTC
V13_defensive,MU,0.0533333333333333,949.0,0.5619950825430279,533.3333333333335,995.8699951171875,559.6740401080085,2026-06-08 13:43:34 UTC,2026-06-11 20:19:22 UTC
V13_defensive,STX,0.0533333333333333,874.6199951171875,0.6097886354197446,533.3333333333335,868.0900268554688,529.3514328976858,2026-06-08 13:43:34 UTC,2026-06-11 20:19:22 UTC
V13_defensive,NUE,0.0533333333333333,253.7400054931641,2.1018890273008286,533.3333333333335,260.8999938964844,548.3828343938736,2026-06-08 13:43:34 UTC,2026-06-11 20:19:22 UTC
V13_defensive,GNRC,0.0533333333333333,266.0,2.0050125313283216,533.3333333333335,257.3299865722656,515.9498477639413,2026-06-08 13:43:34 UTC,2026-06-11 20:19:22 UTC
V13_defensive,FIX,0.0533333333333333,1805.9449462890625,0.2953209257177252,533.3333333333335,1843.4200439453125,544.4005138645394,2026-06-08 13:43:34 UTC,2026-06-11 20:19:22 UTC
V13_defensive,JBHT,0.0533333333333333,286.20001220703125,1.8634986393625,533.3333333333335,289.1400146484375,538.8120238826166,2026-06-08 13:43:34 UTC,2026-06-11 20:19:22 UTC
V13_defensive,SATS,0.0533333333333333,112.97899627685548,4.72064145468595,533.3333333333335,128.1300048828125,604.8558126389179,2026-06-08 13:43:34 UTC,2026-06-11 20:19:22 UTC
V13_defensive,VTRS,0.0533333333333333,16.079999923706055,33.16749601143113,533.3333333333335,16.309999465942383,540.9618422330879,2026-06-08 13:43:34 UTC,2026-06-11 20:19:22 UTC
V13_defensive,STLD,0.0533333333333333,266.0599975585937,2.004560393246936,533.3333333333335,279.54998779296875,560.3748334624496,2026-06-08 13:43:34 UTC,2026-06-11 20:19:22 UTC
V13_defensive,HAL,0.0533333333333333,40.01599884033203,13.328002518727288,533.3333333333335,39.7599983215332,529.9213577739873,2026-06-08 13:43:34 UTC,2026-06-11 20:19:22 UTC
V13_defensive,TRGP,0.0533333333333333,266.125,2.0040707687490222,533.3333333333335,269.3699951171875,539.8365331924223,2026-06-08 13:43:34 UTC,2026-06-11 20:19:22 UTC
V13_defensive,APA,0.0533333333333333,37.2599983215332,14.313831383752662,533.3333333333335,36.779998779296875,526.4627008214842,2026-06-08 13:43:34 UTC,2026-06-11 20:19:22 UTC
V13_defensive,STT,0.0533333333333333,162.73500061035156,3.277311772716509,533.3333333333335,164.85000610351562,540.2648657354401,2026-06-08 13:43:34 UTC,2026-06-11 20:19:22 UTC
V13_defensive,HST,0.0533333333333333,24.770000457763672,21.53142202168069,533.3333333333335,24.34000015258789,524.0748152931423,2026-06-08 13:43:34 UTC,2026-06-11 20:19:22 UTC
V13_defensive,GLD,0.0499999999999999,398.6400146484375,1.2542644532083709,499.9999999999994,386.260009765625,484.4721999449416,2026-06-08 13:43:34 UTC,2026-06-11 20:19:22 UTC
V13_defensive,TLT,0.0399999999999999,85.2300033569336,4.693182966623204,399.99999999999926,85.9800033569336,403.5198872249666,2026-06-08 13:43:34 UTC,2026-06-11 20:19:22 UTC
V13_defensive,SHY,0.0399999999999999,81.93499755859375,4.881918739473316,399.99999999999926,82.08999633789062,400.75669144524414,2026-06-08 13:43:34 UTC,2026-06-11 20:19:22 UTC
SPY_benchmark_for_V12,SPY,1.0,742.7849731445312,13.462846397747734,10000.0,737.760009765625,9932.349689875478,2026-06-08 13:43:34 UTC,2026-06-11 20:19:22 UTC
SPY_benchmark_for_V13,SPY,1.0,742.7849731445312,13.462846397747734,10000.0,737.760009765625,9932.349689875478,2026-06-08 13:43:34 UTC,2026-06-11 20:19:22 UTC
