,strategy,ticker,target_weight,entry_price,shares,entry_value,last_price,last_value,created_at,updated_at,gain_loss,weight_now
18,V12_champion,TXN,0.0499999999999999,291.5849914550781,1.714765898974709,499.9999999999999,287.5,492.9951959552288,2026-06-08 13:43:32 UTC,2026-06-09 15:06:40 UTC,-0.014009608089542214,0.05013633170117323
19,V12_champion,GNRC,0.0499999999999999,266,1.8796992481203003,499.9999999999999,261.79010009765625,492.0866543189026,2026-06-08 13:43:32 UTC,2026-06-09 15:06:40 UTC,-0.0158266913621945,0.05004393537517067
20,V13_defensive,IEF,0.0699999999999999,93.8000030517578,7.462686324367678,699.9999999999995,93.66500091552734,698.992521404192,2026-06-08 13:43:34 UTC,2026-06-09 15:06:40 UTC,-0.001439255136867934,0.07048938251047664
21,V13_defensive,WDC,0.0533333333333333,535.780029296875,0.9954333946213852,533.3333333333335,518.280029296875,515.9132489274593,2026-06-08 13:43:34 UTC,2026-06-09 15:06:40 UTC,-0.032662658261014,0.05202688903282497
22,V13_defensive,MU,0.0533333333333333,949,0.5619950825430279,533.3333333333335,934.2000122070312,525.0158129719882,2026-06-08 13:43:34 UTC,2026-06-09 15:06:40 UTC,-0.01559535067752238,0.05294483035424561
23,V13_defensive,STX,0.0533333333333333,874.6199951171875,0.6097886354197446,533.3333333333335,860.7899780273438,524.8999460842858,2026-06-08 13:43:34 UTC,2026-06-09 15:06:40 UTC,-0.015812601091964362,0.05293314584387182
24,V13_defensive,NUE,0.0533333333333333,253.7400054931641,2.1018890273008286,533.3333333333335,250.97999572753903,527.5320990917232,2026-06-08 13:43:34 UTC,2026-06-09 15:06:40 UTC,-0.010877314203019184,0.05319858336213686
25,V13_defensive,GNRC,0.0533333333333333,266,2.0050125313283216,533.3333333333335,261.79010009765625,524.8924312734964,2026-06-08 13:43:34 UTC,2026-06-09 15:06:40 UTC,-0.0158266913621945,0.052932388018350075
26,V13_defensive,FIX,0.0533333333333333,1805.9449462890625,0.2953209257177252,533.3333333333335,1814.9599609375,535.9956558046689,2026-06-08 13:43:34 UTC,2026-06-09 15:06:40 UTC,0.004991854633753956,0.054052084463034854
27,V13_defensive,JBHT,0.0533333333333333,286.20001220703125,1.8634986393625,533.3333333333335,284.44000244140625,530.0535575298267,2026-06-08 13:43:34 UTC,2026-06-09 15:06:40 UTC,-0.006149579631575253,0.05345285796863865
28,V13_defensive,SATS,0.0533333333333333,112.97899627685548,4.72064145468595,533.3333333333335,117.78500366210938,556.02077102769,2026-06-08 13:43:34 UTC,2026-06-09 15:06:40 UTC,0.042538945676918516,0.05607150235886048
29,V13_defensive,VTRS,0.0533333333333333,16.079999923706055,33.16749601143113,533.3333333333335,16.010000228881836,531.0116187344498,2026-06-08 13:43:34 UTC,2026-06-09 15:06:40 UTC,-0.004353214872906852,0.05354947294040611
30,V13_defensive,STLD,0.0533333333333333,266.0599975585937,2.004560393246936,533.3333333333335,265.67999267578125,532.5715905960071,2026-06-08 13:43:34 UTC,2026-06-09 15:06:40 UTC,-0.0014282676324869348,0.05370678714604882
31,V13_defensive,HAL,0.0533333333333333,40.01599884033203,13.328002518727288,533.3333333333335,39.4900016784668,526.3228418351504,2026-06-08 13:43:34 UTC,2026-06-09 15:06:40 UTC,-0.01314467155909338,0.05307663671077514
32,V13_defensive,TRGP,0.0533333333333333,266.125,2.0040707687490222,533.3333333333335,260.4750061035156,522.0103457217788,2026-06-08 13:43:34 UTC,2026-06-09 15:06:40 UTC,-0.021230601771665025,0.052641746237984774
33,V13_defensive,APA,0.0533333333333333,37.2599983215332,14.313831383752662,533.3333333333335,36.07500076293945,516.371478089464,2026-06-08 13:43:34 UTC,2026-06-09 15:06:40 UTC,-0.03180347858225541,0.05207309881288544
34,V13_defensive,STT,0.0533333333333333,162.73500061035156,3.277311772716509,533.3333333333335,161.89300537109375,530.5738524231426,2026-06-08 13:43:34 UTC,2026-06-09 15:06:40 UTC,-0.005174026706607826,0.0535053267213508
35,V13_defensive,HST,0.0533333333333333,24.770000457763672,21.53142202168069,533.3333333333335,24.395000457763672,525.2590500752033,2026-06-08 13:43:34 UTC,2026-06-09 15:06:40 UTC,-0.015139281108994096,0.05296935941955639
36,V13_defensive,GLD,0.0499999999999999,398.6400146484375,1.2542644532083709,499.9999999999994,394.3200073242188,494.581568375632,2026-06-08 13:43:34 UTC,2026-06-09 15:06:40 UTC,-0.010836863248734785,0.04987571152524823
37,V13_defensive,TLT,0.0399999999999999,85.2300033569336,4.693182966623204,399.99999999999926,84.86499786376953,398.2869624367577,2026-06-08 13:43:34 UTC,2026-06-09 15:06:40 UTC,-0.004282593908103927,0.04016495339283623
38,V13_defensive,SHY,0.0399999999999999,81.93499755859375,4.881918739473316,399.99999999999926,81.93000030517578,399.97560381489217,2026-06-08 13:43:34 UTC,2026-06-09 15:06:40 UTC,-0.00006099046276775155,0.04033524318046832
39,SPY_benchmark_for_V12,SPY,1,742.7849731445312,13.462846397747734,10000,737.3499755859375,9926.829462696518,2026-06-08 13:43:34 UTC,2026-06-09 15:06:40 UTC,-0.007317053730348189,1
40,SPY_benchmark_for_V13,SPY,1,742.7849731445312,13.462846397747734,10000,737.3499755859375,9926.829462696518,2026-06-08 13:43:34 UTC,2026-06-09 15:06:40 UTC,-0.007317053730348189,1
